S NO,Consistency No,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
2644,74,"SUNIL SONI ""KHADDI-42""",Independent,427,0,427,0.28
2645,74,SUMIT SINGH,Independent,474,0,474,0.31
2646,74,SUSHIL MISHRA SABAKE MAHARAJ,Independent,239,1,240,0.16
2647,74,NOTA,None of the Above,886,7,893,0.59
2648,39,GOPAL BHARGAVA,Bharatiya Janata Party,129870,1046,130916,67.04
2649,39,ER. JYOTI PATEL,Indian National Congress,57829,287,58116,29.76
2650,39,ASHOK LODHI,Bhartiya Shakti Chetna Party,1687,1,1688,0.86
2651,39,RAJNI KUSHWAHA,Gondvana Gantantra Party,247,1,248,0.13
2652,39,RAJESH SINGH SOYAM,Gana Suraksha Party,146,0,146,0.07
2653,39,KAMLESH SAHU,Independent,78,0,78,0.04
2654,39,JYOTEE PATEL,Independent,126,0,126,0.06
2655,39,DINESH KURMI,Independent,87,0,87,0.04
2656,39,NANDKISHOR KURMI,Independent,115,4,119,0.06
2657,39,RAJNI GUPTA,Independent,125,1,126,0.06
2658,39,RAJKUMARI KURMI,Independent,146,0,146,0.07
2659,39,SHYAMRANI KURMI,Independent,153,0,153,0.08
2660,39,SAVETRI,Independent,229,0,229,0.12
2661,39,SURYA PATEL,Independent,398,0,398,0.2
2662,39,SOHAN KURMI,Independent,908,1,909,0.47
2663,39,NOTA,None of the Above,1798,3,1801,0.92
2664,210,JITU PATWARI,Indian National Congress,114618,1532,116150,42.44
2665,210,DEVKI MANDLOI,Bahujan Samaj Party,1036,15,1051,0.38
2666,210,MADHU VERMA,Bharatiya Janata Party,150107,1565,151672,55.42
2667,210,AAKASH BODADE,Republican Party of India (A),617,0,617,0.23
2668,210,BHANU PRATAP ATERIA,Peoples Party of India (Democratic),94,1,95,0.03
2669,210,MOHAN SONGARA GOLU,Azad Samaj Party,543,1,544,0.2
2670,210,ASHIF PATEL,Independent,119,2,121,0.04
2671,210,PRADEEP MADHUKAR ( Manjhi),Independent,120,1,121,0.04
2672,210,MADHU VERMA,Independent,564,15,579,0.21
2673,210,RAVI SIRWAIYA,Independent,273,0,273,0.1
2674,210,HEMANT RATHORE,Independent,328,2,330,0.12
2675,210,NOTA,None of the Above,2085,19,2104,0.77
2676,219,MATHURA LAL DAMAR,Bharatiya Janata Party,102717,251,102968,55.83
2677,219,LAXMAN SINGH DINDOR,Indian National Congress,68263,381,68644,37.22
2678,219,SANJAY BHABHAR,Bahujan Samaj Party,1397,3,1400,0.76
2679,219,Dr. ABHAY OHRI,Independent,8517,45,8562,4.64
2680,219,NANALAL KHARADI,Independent,992,1,993,0.54
2681,219,NOTA,None of the Above,1870,4,1874,1.02
2682,220,"CHETANYA KASYAP ""BHAIYYAJI""",Bharatiya Janata Party,108063,1593,109656,67.83
2683,220,ADVOCATE JAHIRUDDIN,Bahujan Samaj Party,624,10,634,0.39
2684,220,PARAS DADA,Indian National Congress,47911,1037,48948,30.28
2685,220,AAFREEN BEE ADVOCATE,Samajwadi Party,349,1,350,0.22
2686,220,MOHAMMAD JAFAR,United National Party,107,0,107,0.07
2687,220,ENGINEER VIJAY SINGH YADAV ( ADVOCATE ),Bhartiya Swarnim Yug Party,101,1,102,0.06
2688,220,ARUN RAO,Independent,307,3,310,0.19
2689,220,Mohansingh Solanki,Independent,183,2,185,0.11
2690,220,NOTA,None of the Above,1341,26,1367,0.85
2691,67,MANIRAJ SINGH,Bahujan Samaj Party,37903,210,38113,19.51
2692,67,RAM SHANKAR PAYASi,Indian National Congress,61798,908,62706,32.1
2693,67,VIKRAM SINGH (VICKY),Bharatiya Janata Party,84785,502,85287,43.66
2694,67,SHASHI DEEPAK SINGH BAGHEL,Aam Aadmi Party,1651,9,1660,0.85
2695,67,Anoop Kumar Prajapati,Bahujan Dravida Party,511,0,511,0.26
2696,67,ASHOK BAUDH,Jan Adhikar Party,180,0,180,0.09
2697,67,PRAMOD KUMAR SHUKLA,Samajwadi Party,197,2,199,0.1
2698,67,RAJ Kumar Singh,Peoples Party of India (Democratic),228,1,229,0.12
2699,67,DR. RAJENDRA TRIPATHI,Bharatiya Jan Morcha Party,195,0,195,0.1
2700,67,LAVKESH SINGH DIKHIT,Bhartiya Shakti Chetna Party,232,2,234,0.12
2701,67,AMBIKA KOL BHARTI,Independent,319,0,319,0.16
2702,67,Amit Kumar Saket,Independent,396,2,398,0.2
2703,67,ONMKARESVAREE TIWARI,Independent,436,0,436,0.22
2704,67,SMT.KAVISHRI SINGH,Independent,959,1,960,0.49
2705,67,"Brijendra, Prasad Pandey ""BHAI SAHAB""",Independent,590,1,591,0.3
2706,67,Mosim khan,Independent,957,0,957,0.49
2707,67,RAMKRISHN KOL,Independent,1107,4,1111,0.57
2708,67,NOTA,None of the Above,1263,2,1265,0.65
2709,188,ANIL - DAYARAM BADOLE,Bahujan Samaj Party,1837,9,1846,0.88
2710,188,ANTAR DEVISINGH PATEL,Bharatiya Janata Party,98881,562,99443,47.33
2711,188,BALA BACHCHAN,Indian National Congress,98960,1373,100333,47.75
2712,188,JANI KARAN,Janhit Kisan Party,1236,0,1236,0.59
2713,188,RAVINDRA VIJAY CHOUHAN,Bharat Adivasi Party,574,2,576,0.27
2714,188,'COMRED' SUKHLAL JHABARSINGH GORE,Communist Party of India,1722,1,1723,0.82
2715,188,ANAND - NANDKISHORE NINGWAL,Independent,849,6,855,0.41
2716,188,NARMDEHAR,Independent,1163,5,1168,0.56
2717,188,SUNIL JAGDISH SOLANKI,Independent,1242,1,1243,0.59
2718,188,NOTA,None of the Above,1672,11,1683,0.8
2719,50,ARVIND PATERIYA,Bharatiya Janata Party,69447,251,69698,38.14
2720,50,Dr. GHASIRAM PATEL,Bahujan Samaj Party,32058,137,32195,17.62
2721,50,RAJU PAL,Aam Aadmi Party,1728,1,1729,0.95
2722,50,VIKRAM SINGH (NAATI RAJA),Indian National Congress,63371,460,63831,34.93
2723,50,BRAJGOPAL PATEL,Samajwadi Party,6349,4,6353,3.48
2724,50,AAPKE IMRAN,Malwa Congress,511,0,511,0.28
2725,50,RAJKUMAR CHAURASIYA,Rashtriya Gondvana Party,248,0,248,0.14
2726,50,RAMKUNWAR/RANI RAIKWAR,Janata Dal (United),470,2,472,0.26
2727,50,AHIRWAR HARIMOHAN ADVOCATE,Jan Adhikar Party,288,3,291,0.16
2728,50,AJAY SINGH YADAV NAAND,Independent,399,1,400,0.22
2729,50,UMAKANT NAMDEV,Independent,295,0,295,0.16
2730,50,DASHRATH KUSHWAHA,Independent,483,0,483,0.26
2731,50,NEERAJ BHAIYA JI,Independent,977,0,977,0.53
2732,50,AHIRWAR POONAM,Independent,752,0,752,0.41
2733,50,PRAMOD KUMAR (BINCHI BABA),Independent,736,0,736,0.4
2734,50,BHOORA PATEL,Independent,1443,0,1443,0.79
2735,50,VIPIN,Independent,954,0,954,0.52
2736,50,VIPIN SHARMA,Independent,399,0,399,0.22
2737,50,BEERENDRA PATEL,Independent,233,0,233,0.13
2738,50,NOTA,None of the Above,762,0,762,0.42
2739,162,AMAR SINGH YADAV,Bharatiya Janata Party,103121,911,104032,53.53
2740,162,ADVOCATE INDER-SINGH-VERMA,Bahujan Samaj Party,1930,14,1944,1
2741,162,BAPU SINGH TANWAR,Indian National Congress,80486,1007,81493,41.93
2742,162,SATISH KUMAR BHARTIYA,Aazad Samaj Party (Kanshi Ram),1941,3,1944,1
2743,162,M. ILYAS,Independent,312,5,317,0.16
2744,162,KAILASH NARAYAN,Independent,689,2,691,0.36
2745,162,TIWARI,Independent,405,3,408,0.21
2746,162,Deepak Mewade,Independent,512,3,515,0.26
2747,162,RATAN SINGH KODKYA,Independent,1254,7,1261,0.65
2748,162,NOTA,None of the Above,1735,7,1742,0.9
2749,62,KALPANA VERMA,Indian National Congress,40841,725,41566,26.46
2750,62,DEVRAJ AHIRWAR,Bahujan Samaj Party,27538,205,27743,17.66
2751,62,Pratima Bagri,Bharatiya Janata Party,76965,661,77626,49.42
2752,62,VARUN GUJAR 'DINKAL',Aam Aadmi Party,1929,9,1938,1.23
2753,62,Indal Prasad,Samajwadi Party,505,5,510,0.32
2754,62,GOPI,Indian Peoples Adhikar Party,143,1,144,0.09
2755,62,BAcHcHA SiSODHiYA,Jan Adhikar Party,186,0,186,0.12
2756,62,Balram Choedhry,Bharatiya Jan Morcha Party,177,0,177,0.11
2757,62,DR. RAJENDRA SINGH,Bahujan Dravida Party,941,5,946,0.6
2758,62,RANI BAGRI,Vindhya Janta Party,2211,29,2240,1.43
2759,62,SMT-SANJU KORI,Peoples Party of India (Democratic),422,3,425,0.27
2760,62,SMT-ARTI VERMA,Independent,482,6,488,0.31
2761,62,KESH KALI DOHAR,Independent,421,0,421,0.27
2762,62,"DHIRENDRA SHINGH ""DHIRU""",Independent,919,1,920,0.59
2763,62,SHiV-NARAYAN-DAHIYA,Independent,755,0,755,0.48
2764,62,NOTA,None of the Above,986,5,991,0.63
